merchant_id,month,txn_count,txn_amount,dispute_count,dispute_amount,loss_amount,loss_fees,risk_tier,tenure_months,monthly_volume_usd,refund_rate,chargeback_rate,net_loss_usd,net_loss_rate
M0001,2024-01,19,998.39,0.0,0.0,0.0,0.0,Low,6,29896.78,0.1007,0.0,0.0,0.0
M0001,2024-02,16,880.61,0.0,0.0,0.0,0.0,Low,6,29896.78,0.1007,0.0,0.0,0.0
M0001,2024-03,28,1300.67,0.0,0.0,0.0,0.0,Low,6,29896.78,0.1007,0.0,0.0,0.0
M0001,2024-04,14,658.42,1.0,26.35,26.35,15.26,Low,6,29896.78,0.1007,0.07142857142857142,41.61,0.0631967437198141
M0001,2024-05,19,1063.69,0.0,0.0,0.0,0.0,Low,6,29896.78,0.1007,0.0,0.0,0.0
M0001,2024-06,20,1058.0,1.0,14.79,14.79,15.15,Low,6,29896.78,0.1007,0.05,29.939999999999998,0.02829867674858223
M0001,2024-07,30,1352.35,0.0,0.0,0.0,0.0,Low,6,29896.78,0.1007,0.0,0.0,0.0
M0001,2024-08,20,1006.25,0.0,0.0,0.0,0.0,Low,6,29896.78,0.1007,0.0,0.0,0.0
M0001,2024-09,17,900.84,0.0,0.0,0.0,0.0,Low,6,29896.78,0.1007,0.0,0.0,0.0
M0001,2024-10,13,485.79,0.0,0.0,0.0,0.0,Low,6,29896.78,0.1007,0.0,0.0,0.0
M0001,2024-11,21,1160.25,0.0,0.0,0.0,0.0,Low,6,29896.78,0.1007,0.0,0.0,0.0
M0001,2024-12,18,733.8299999999999,1.0,35.55,0.0,0.0,Low,6,29896.78,0.1007,0.05555555555555555,0.0,0.0
M0001,2025-01,28,1039.3799999999999,0.0,0.0,0.0,0.0,Low,6,29896.78,0.1007,0.0,0.0,0.0
M0001,2025-02,15,690.9,0.0,0.0,0.0,0.0,Low,6,29896.78,0.1007,0.0,0.0,0.0
M0001,2025-03,20,952.27,0.0,0.0,0.0,0.0,Low,6,29896.78,0.1007,0.0,0.0,0.0
M0001,2025-04,13,577.11,0.0,0.0,0.0,0.0,Low,6,29896.78,0.1007,0.0,0.0,0.0
M0001,2025-05,20,899.12,0.0,0.0,0.0,0.0,Low,6,29896.78,0.1007,0.0,0.0,0.0
M0001,2025-06,23,1374.81,3.0,243.5,54.629999999999995,30.55,Low,6,29896.78,0.1007,0.13043478260869565,85.17999999999999,0.06195765233014016
M0001,2025-07,26,992.35,0.0,0.0,0.0,0.0,Low,6,29896.78,0.1007,0.0,0.0,0.0
M0001,2025-08,24,1499.4299999999998,1.0,61.65,0.0,0.0,Low,6,29896.78,0.1007,0.041666666666666664,0.0,0.0
M0001,2025-09,26,981.91,2.0,132.25,24.12,15.24,Low,6,29896.78,0.1007,0.07692307692307693,39.36,0.04008514018596409
M0001,2025-10,22,987.5,0.0,0.0,0.0,0.0,Low,6,29896.78,0.1007,0.0,0.0,0.0
